,MAE,RMSE,MAPE
LinearRegression,19.08196926038067,24.540758299724942,0.0077898489969865
RandomForest,391.5949077777725,434.4828025000233,0.15517954697654396
SARIMAX,406.2956021154601,449.7331041557109,0.1611285791107725
LSTM,575.2747162543403,606.4184997831342,0.23075956149846266
